# All infantry equipment

equipments = {


	infantry_equipment = {
		is_archetype = yes
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 10
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 3
		hard_attack = 0.5
		ap_attack = 1
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.38
		resources = {
			steel = 2
			#wood = 4
		}
		
	}

	# HOI4 TGW  ~1900
	infantry_equipment_0 = {	
		archetype = infantry_equipment
		active = yes
		priority = 10
		visual_level = 0

		#Defensive Abilities
		defense = 10 # Open Beta 0.6.2
		breakthrough = 1

		#Offensive Abilities
		soft_attack = 2.2
		hard_attack = 0.2
		ap_attack = 0.2
		air_attack = 0
	}

	# HOI4 TGW  ~1910
	infantry_equipment_1 = {
		archetype = infantry_equipment
		parent = infantry_equipment_0
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 12
		breakthrough = 1.3
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 2.7
		hard_attack = 0.3
		ap_attack = 0.5
		air_attack = 0

		build_cost_ic = 0.41
	}

	# HOI4 TGW  ~1915  
	infantry_equipment_2 = {
		archetype = infantry_equipment
		parent = infantry_equipment_1
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 15
		breakthrough = 1.7

		#Offensive Abilities
		soft_attack = 3.4
		hard_attack = 0.4
		ap_attack = 1
		air_attack = 0

		build_cost_ic = 0.43
		resources = {
			steel = 2
			#wood = 4
		}
	}

	
	# HOI4 TGW  ~1917
	infantry_equipment_3 = {
		archetype = infantry_equipment
		parent = infantry_equipment_2
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 19
		breakthrough = 2.4

		#Offensive Abilities
		soft_attack = 4.5
		hard_attack = 0.6
		ap_attack = 2
		air_attack = 0

		build_cost_ic = 0.47
		resources = {
			steel = 2
			#wood = 3
		}
	}


	# Regular infantry  1938
	infantry_equipment_4 = {
		archetype = infantry_equipment
		parent = infantry_equipment_3
		priority = 10
		visual_level = 4

		#Defensive Abilities
		defense = 22
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 1
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.5
	}

	# Improved weapons  ~1941
	infantry_equipment_5 = {
		archetype = infantry_equipment
		parent = infantry_equipment_4
		priority = 10
		visual_level = 5
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			steel = 3
			#wood = 2
		}
	}
	
	# Advanced weapons  ~1943
	infantry_equipment_6 = {
		archetype = infantry_equipment
		parent = infantry_equipment_5
		priority = 10
		visual_level = 6
		
		#Defensive Abilities
		defense = 34
		breakthrough = 5

		#Offensive Abilities
		soft_attack = 12
		hard_attack = 2
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.69
		build_cost_ic = 1
		resources = {
			steel = 3
			#wood = 1
		}
	}










}
